# onion skin A3d strip probe
# comp	1920	1080
ms	pw	ph	x0	x1	y0	y1	span_w	span_h	zoom_x	zoom_y	axis_diff_pct	cost_ms	status	win_ok	wx0	wy0	dx	dy	win_cost_ms
9060.9	1592	734	501	1235	257	669	735	413	0.382812	0.382407	0.106	22.5496	ok	0	0	0	-9999	-9999	0.0000
9108.8	1592	734	492	1226	254	666	735	413	0.382812	0.382407	0.106	25.0163	ok	0	0	0	-9999	-9999	0.0000
9155.7	1592	734	490	1224	249	661	735	413	0.382812	0.382407	0.106	11.0761	ok	0	0	0	-9999	-9999	0.0000
9186.0	1592	734	487	1221	242	654	735	413	0.382812	0.382407	0.106	14.3133	ok	0	0	0	-9999	-9999	0.0000
9217.4	1592	734	481	1215	229	641	735	413	0.382812	0.382407	0.106	16.4816	ok	0	0	0	-9999	-9999	0.0000
9265.6	1592	734	464	1198	210	622	735	413	0.382812	0.382407	0.106	18.0557	ok	0	0	0	-9999	-9999	0.0000
9313.1	1592	734	442	1176	194	606	735	413	0.382812	0.382407	0.106	20.3817	ok	0	0	0	-9999	-9999	0.0000
9359.5	1592	734	429	1163	185	597	735	413	0.382812	0.382407	0.106	25.4992	ok	0	0	0	-9999	-9999	0.0000
9406.3	1592	734	423	1157	180	592	735	413	0.382812	0.382407	0.106	26.7466	ok	0	0	0	-9999	-9999	0.0000
9453.0	1592	734	407	1141	172	584	735	413	0.382812	0.382407	0.106	14.0522	ok	0	0	0	-9999	-9999	0.0000
9483.3	1592	734	398	1132	169	581	735	413	0.382812	0.382407	0.106	17.2067	ok	0	0	0	-9999	-9999	0.0000
9530.4	1592	734	389	1123	168	580	735	413	0.382812	0.382407	0.106	20.3986	ok	0	0	0	-9999	-9999	0.0000
9577.6	1592	734	389	1123	168	580	735	413	0.382812	0.382407	0.106	22.6195	ok	0	0	0	-9999	-9999	0.0000
9623.3	1592	734	390	1124	167	579	735	413	0.382812	0.382407	0.106	26.5731	ok	0	0	0	-9999	-9999	0.0000
9669.9	1592	734	390	1124	166	578	735	413	0.382812	0.382407	0.106	13.7912	ok	0	0	0	-9999	-9999	0.0000
9702.1	1592	734	390	1124	166	578	735	413	0.382812	0.382407	0.106	14.1295	ok	0	0	0	-9999	-9999	0.0000
9733.7	1592	734	390	1124	166	578	735	413	0.382812	0.382407	0.106	16.4141	ok	0	0	0	-9999	-9999	0.0000
9780.2	1592	734	390	1124	166	578	735	413	0.382812	0.382407	0.106	19.7598	ok	0	0	0	-9999	-9999	0.0000
9827.4	1592	734	390	1124	166	578	735	413	0.382812	0.382407	0.106	24.4191	ok	0	0	0	-9999	-9999	0.0000
9874.3	1592	734	390	1124	166	578	735	413	0.382812	0.382407	0.106	27.2848	ok	0	0	0	-9999	-9999	0.0000
9921.8	1592	734	383	1117	166	578	735	413	0.382812	0.382407	0.106	12.9488	ok	0	0	0	-9999	-9999	0.0000
9953.9	1592	734	378	1112	166	578	735	413	0.382812	0.382407	0.106	12.7419	ok	0	0	0	-9999	-9999	0.0000
9985.7	1592	734	365	1099	166	578	735	413	0.382812	0.382407	0.106	14.7390	ok	0	0	0	-9999	-9999	0.0000
10017.3	1592	734	359	1093	171	583	735	413	0.382812	0.382407	0.106	16.5888	ok	0	0	0	-9999	-9999	0.0000
10064.4	1592	734	365	1099	197	609	735	413	0.382812	0.382407	0.106	19.1452	ok	0	0	0	-9999	-9999	0.0000
10111.9	1592	734	393	1127	223	635	735	413	0.382812	0.382407	0.106	21.9189	ok	0	0	0	-9999	-9999	0.0000
10158.1	1592	734	446	1180	227	639	735	413	0.382812	0.382407	0.106	25.7749	ok	0	0	0	-9999	-9999	0.0000
10206.2	1592	734	521	1255	221	633	735	413	0.382812	0.382407	0.106	27.5141	ok	0	0	0	-9999	-9999	0.0000
10253.4	1592	734	563	1297	206	618	735	413	0.382812	0.382407	0.106	13.4860	ok	0	0	0	-9999	-9999	0.0000
10283.9	1592	734	583	1317	188	600	735	413	0.382812	0.382407	0.106	16.6748	ok	0	0	0	-9999	-9999	0.0000
10331.9	1592	734	581	1315	159	571	735	413	0.382812	0.382407	0.106	18.2945	ok	0	0	0	-9999	-9999	0.0000
10378.6	1592	734	558	1292	146	558	735	413	0.382812	0.382407	0.106	23.4796	ok	0	0	0	-9999	-9999	0.0000
10424.3	1592	734	525	1259	156	568	735	413	0.382812	0.382407	0.106	26.3333	ok	0	0	0	-9999	-9999	0.0000
10471.9	1592	734	508	1242	176	588	735	413	0.382812	0.382407	0.106	11.5460	ok	0	0	0	-9999	-9999	0.0000
10503.4	1592	734	509	1243	188	600	735	413	0.382812	0.382407	0.106	13.7081	ok	0	0	0	-9999	-9999	0.0000
10535.0	1592	734	528	1262	197	609	735	413	0.382812	0.382407	0.106	15.3093	ok	0	0	0	-9999	-9999	0.0000
10581.8	1592	734	590	1324	189	601	735	413	0.382812	0.382407	0.106	18.9212	ok	0	0	0	-9999	-9999	0.0000
10629.6	1592	734	632	1366	157	569	735	413	0.382812	0.382407	0.106	20.8746	ok	0	0	0	-9999	-9999	0.0000
10675.6	1592	734	629	1363	141	553	735	413	0.382812	0.382407	0.106	25.0386	ok	0	0	0	-9999	-9999	0.0000
10723.0	1592	734	615	1349	137	549	735	413	0.382812	0.382407	0.106	27.9570	ok	0	0	0	-9999	-9999	0.0000
10769.7	1592	734	610	1344	137	549	735	413	0.382812	0.382407	0.106	13.8026	ok	0	0	0	-9999	-9999	0.0000
10801.3	1592	734	605	1339	137	549	735	413	0.382812	0.382407	0.106	15.5659	ok	0	0	0	-9999	-9999	0.0000
10848.1	1592	734	590	1324	137	549	735	413	0.382812	0.382407	0.106	18.8099	ok	0	0	0	-9999	-9999	0.0000
10895.4	1592	734	524	1258	137	549	735	413	0.382812	0.382407	0.106	23.2043	ok	0	0	0	-9999	-9999	0.0000
10942.7	1592	734	389	1123	137	549	735	413	0.382812	0.382407	0.106	24.6368	ok	0	0	0	-9999	-9999	0.0000
10990.7	1592	734	285	1019	137	549	735	413	0.382812	0.382407	0.106	26.4517	ok	0	0	0	-9999	-9999	0.0000
11038.3	1592	734	251	985	137	549	735	413	0.382812	0.382407	0.106	11.9015	ok	0	0	0	-9999	-9999	0.0000
11070.0	1592	734	239	973	136	550	735	415	0.382812	0.384259	0.377	13.1621	ok	0	0	0	-9999	-9999	0.0000
11101.4	1592	734	238	972	135	549	735	415	0.382812	0.384259	0.377	15.1178	ok	0	0	0	-9999	-9999	0.0000
11133.4	1592	734	238	972	135	549	735	415	0.382812	0.384259	0.377	17.1030	ok	0	0	0	-9999	-9999	0.0000
11179.8	1592	734	236	970	135	549	735	415	0.382812	0.384259	0.377	20.8136	ok	0	0	0	-9999	-9999	0.0000
11227.9	1592	734	222	956	135	549	735	415	0.382812	0.384259	0.377	22.5763	ok	0	0	0	-9999	-9999	0.0000
11275.8	1592	734	159	893	135	549	735	415	0.382812	0.384259	0.377	24.4110	ok	0	0	0	-9999	-9999	0.0000
11323.8	1592	734	61	795	0	0	0	0	0.000000	0.000000	0.000	26.4637	no_edge	0	0	0	-9999	-9999	0.0000
11371.2	1592	734	12	746	0	0	0	0	0.000000	0.000000	0.000	12.5322	no_edge	0	0	0	-9999	-9999	0.0000
11401.8	1592	734	0	0	0	0	0	0	0.000000	0.000000	0.000	16.4512	no_edge	0	0	0	-9999	-9999	0.0000
11448.9	1592	734	11	745	0	0	0	0	0.000000	0.000000	0.000	18.3567	no_edge	0	0	0	-9999	-9999	0.0000
11495.7	1592	734	42	776	0	0	0	0	0.000000	0.000000	0.000	21.8530	no_edge	0	0	0	-9999	-9999	0.0000
11541.5	1592	734	74	808	0	0	0	0	0.000000	0.000000	0.000	25.3422	no_edge	0	0	0	-9999	-9999	0.0000
11587.9	1592	734	103	837	0	0	0	0	0.000000	0.000000	0.000	12.4033	no_edge	0	0	0	-9999	-9999	0.0000
11618.9	1592	734	130	864	256	670	735	415	0.382812	0.384259	0.377	14.8076	ok	0	0	0	-9999	-9999	0.0000
11650.0	1592	734	146	880	267	681	735	415	0.382812	0.384259	0.377	16.5281	ok	0	0	0	-9999	-9999	0.0000
11697.1	1592	734	147	881	268	682	735	415	0.382812	0.384259	0.377	19.1573	ok	0	0	0	-9999	-9999	0.0000
11744.2	1592	734	147	881	268	682	735	415	0.382812	0.384259	0.377	22.9232	ok	0	0	0	-9999	-9999	0.0000
11791.0	1592	734	147	881	268	682	735	415	0.382812	0.384259	0.377	25.6025	ok	0	0	0	-9999	-9999	0.0000
11837.3	1592	734	147	881	268	682	735	415	0.382812	0.384259	0.377	12.8114	ok	0	0	0	-9999	-9999	0.0000
11868.1	1592	734	146	880	271	685	735	415	0.382812	0.384259	0.377	16.2617	ok	0	0	0	-9999	-9999	0.0000
11915.6	1592	734	143	877	274	688	735	415	0.382812	0.384259	0.377	19.6011	ok	0	0	0	-9999	-9999	0.0000
11962.1	1592	734	147	883	278	692	737	415	0.383854	0.384259	0.105	21.7192	ok	0	0	0	-9999	-9999	0.0000
12009.2	1592	734	206	942	280	694	737	415	0.383854	0.384259	0.105	24.4128	ok	0	0	0	-9999	-9999	0.0000
12056.3	1592	734	361	1097	281	693	737	413	0.383854	0.382407	0.378	27.9529	ok	0	0	0	-9999	-9999	0.0000
12103.3	1592	734	451	1185	260	672	735	413	0.382812	0.382407	0.106	13.9939	ok	0	0	0	-9999	-9999	0.0000
12135.2	1592	734	518	1252	236	648	735	413	0.382812	0.382407	0.106	14.8791	ok	0	0	0	-9999	-9999	0.0000
12167.0	1592	734	553	1287	218	630	735	413	0.382812	0.382407	0.106	16.8089	ok	0	0	0	-9999	-9999	0.0000
12213.3	1592	734	573	1307	194	606	735	413	0.382812	0.382407	0.106	20.3516	ok	0	0	0	-9999	-9999	0.0000
12260.1	1592	734	578	1312	179	591	735	413	0.382812	0.382407	0.106	23.4735	ok	0	0	0	-9999	-9999	0.0000
12307.4	1592	734	578	1312	178	590	735	413	0.382812	0.382407	0.106	26.0718	ok	0	0	0	-9999	-9999	0.0000
12355.2	1592	734	578	1312	178	590	735	413	0.382812	0.382407	0.106	12.4544	ok	0	0	0	-9999	-9999	0.0000
12385.7	1592	734	578	1312	178	590	735	413	0.382812	0.382407	0.106	13.8218	ok	0	0	0	-9999	-9999	0.0000
12418.0	1592	734	578	1312	178	590	735	413	0.382812	0.382407	0.106	16.3106	ok	0	0	0	-9999	-9999	0.0000
12463.6	1592	734	578	1312	178	590	735	413	0.382812	0.382407	0.106	19.5082	ok	0	0	0	-9999	-9999	0.0000
12510.3	1592	734	578	1312	178	590	735	413	0.382812	0.382407	0.106	22.9529	ok	0	0	0	-9999	-9999	0.0000
12557.4	1592	734	578	1312	178	590	735	413	0.382812	0.382407	0.106	25.9680	ok	0	0	0	-9999	-9999	0.0000
