# onion skin A3e capture stream (dedicated thread)
# comp	1920	1080
t_ms	pw	ph	sx	sy	tx	ty	axis_diff_pct	cost_ms	status
58307.744	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.2176	no_edge
58324.179	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.6341	no_edge
58340.876	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.7425	no_edge
58357.400	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.2867	no_edge
58374.019	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.9348	no_edge
58391.089	1592	729	0.000000	0.000000	0.00	0.00	0.000	17.1865	no_edge
58408.385	1592	729	0.000000	0.000000	0.00	0.00	0.000	17.3882	no_edge
58424.545	1592	729	0.000000	0.000000	0.00	0.00	0.000	14.9139	no_edge
58440.727	1592	729	0.000000	0.000000	0.00	0.00	0.000	17.4324	no_edge
58458.687	1592	729	0.000000	0.000000	0.00	0.00	0.000	18.4684	no_edge
58475.289	1592	729	0.000000	0.000000	0.00	0.00	0.000	14.7172	no_edge
58490.910	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.5071	no_edge
58507.309	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.2726	no_edge
58523.992	1592	729	0.000000	0.000000	0.00	0.00	0.000	17.0754	no_edge
58540.372	1592	729	0.000000	0.000000	0.00	0.00	0.000	15.6647	no_edge
58557.067	1592	729	0.000000	0.000000	0.00	0.00	0.000	17.7096	no_edge
58573.954	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.0498	no_edge
58590.480	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.9851	no_edge
58607.621	1592	729	0.000000	0.000000	0.00	0.00	0.000	17.2797	no_edge
58624.539	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.5375	no_edge
58641.034	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.4338	no_edge
58657.577	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.6375	no_edge
58674.507	1592	729	0.000000	0.000000	0.00	0.00	0.000	17.2058	no_edge
58691.331	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.4260	no_edge
58707.871	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.6373	no_edge
58724.666	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.9333	no_edge
58741.409	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.5251	no_edge
58757.988	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.6158	no_edge
58774.731	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.8512	no_edge
58791.271	1592	729	0.291146	0.290741	304.00	302.00	0.139	16.2093	ok
58807.806	1592	729	0.291146	0.290741	328.00	302.00	0.139	16.8425	ok
58824.144	1592	729	0.291146	0.290741	332.00	302.00	0.139	15.8129	ok
58840.524	1592	729	0.291146	0.290741	334.00	302.00	0.139	16.9268	ok
58857.235	1592	729	0.291146	0.290741	334.00	302.00	0.139	16.4762	ok
58874.204	1592	729	0.291146	0.290741	334.00	302.00	0.139	17.4419	ok
58891.362	1592	729	0.291146	0.290741	334.00	302.00	0.139	16.8556	ok
58907.675	1592	729	0.291146	0.290741	334.00	302.00	0.139	15.7548	ok
58923.337	1592	729	0.291146	0.290741	334.00	302.00	0.139	15.5485	ok
58939.658	1592	729	0.291146	0.290741	334.00	302.00	0.139	17.0753	ok
58956.388	1592	729	0.291146	0.290741	334.00	302.00	0.139	16.3665	ok
58974.221	1592	729	0.291146	0.290741	334.00	302.00	0.139	19.2788	ok
58991.248	1592	729	0.291146	0.290741	334.00	302.00	0.139	14.7575	ok
59006.819	1592	729	0.291146	0.290741	334.00	302.00	0.139	16.3663	ok
59023.328	1592	729	0.291146	0.290741	334.00	302.00	0.139	16.6349	ok
59040.068	1592	729	0.291146	0.290741	334.00	302.00	0.139	16.8284	ok
59056.749	1592	729	0.291146	0.290741	334.00	302.00	0.139	16.5121	ok
59073.411	1592	729	0.291146	0.290741	334.00	302.00	0.139	16.7933	ok
59090.070	1592	729	0.291146	0.290741	334.00	302.00	0.139	16.5031	ok
59106.822	1592	729	0.291146	0.290741	334.00	302.00	0.139	16.9798	ok
59123.405	1592	729	0.291146	0.290741	334.00	302.00	0.139	16.1667	ok
59139.810	1592	729	0.291146	0.290741	334.00	302.00	0.139	16.6236	ok
59156.510	1592	729	0.291146	0.290741	334.00	302.00	0.139	16.7601	ok
59173.427	1592	729	0.291146	0.290741	334.00	302.00	0.139	17.0545	ok
59190.076	1592	729	0.291146	0.290741	334.00	302.00	0.139	16.2249	ok
59206.624	1592	729	0.291146	0.290741	334.00	302.00	0.139	16.8504	ok
59223.285	1592	729	0.291146	0.290741	334.00	302.00	0.139	16.4536	ok
59240.067	1592	729	0.291146	0.290741	334.00	302.00	0.139	17.0934	ok
59256.636	1592	729	0.291146	0.290741	334.00	302.00	0.139	16.0253	ok
59273.592	1592	729	0.291146	0.290741	334.00	302.00	0.139	17.8684	ok
59290.542	1592	729	0.333333	0.333333	307.00	273.00	0.000	16.0169	ok
59306.629	1592	729	0.333333	0.333333	307.00	273.00	0.000	16.0105	ok
59323.222	1592	729	0.333333	0.333333	307.00	273.00	0.000	17.1494	ok
59340.230	1592	729	0.333333	0.333333	307.00	273.00	0.000	16.8485	ok
59356.827	1592	729	0.333333	0.333333	307.00	273.00	0.000	16.3101	ok
59373.223	1592	729	0.333333	0.333333	307.00	273.00	0.000	16.4637	ok
59390.179	1592	729	0.333333	0.333333	307.00	273.00	0.000	17.4315	ok
