frame	probe_ms	comp_l	green_l	slip	status
1157	10322.3	588	590	2	ok
1158	10339.0	588	590	2	ok
1159	10355.7	588	590	2	ok
1160	10372.3	588	590	2	ok
1161	10389.0	588	590	2	ok
1162	10405.7	588	590	2	ok
1163	10422.3	588	590	2	ok
1164	10439.0	588	590	2	ok
1165	10455.7	588	590	2	ok
1166	10472.3	588	590	2	ok
1167	10489.0	588	590	2	ok
1168	10505.7	588	590	2	ok
1169	10522.3	588	590	2	ok
1170	10539.0	588	590	2	ok
1171	10555.7	588	590	2	ok
1172	10572.3	588	590	2	ok
1173	10589.0	588	590	2	ok
1174	10605.7	588	590	2	ok
1175	10622.3	588	590	2	ok
1176	10639.0	588	590	2	ok
1177	10655.7	588	590	2	ok
1178	10672.3	588	590	2	ok
1179	10689.0	588	590	2	ok
1180	10705.7	588	590	2	ok
1181	10722.3	588	590	2	ok
1182	10739.0	588	590	2	ok
1183	10755.7	588	590	2	ok
1184	10772.3	588	590	2	ok
1185	10789.0	588	590	2	ok
1186	10805.7	588	590	2	ok
1187	10822.3	588	590	2	ok
1188	10839.0	588	590	2	ok
1189	10855.7	588	590	2	ok
1190	10872.3	588	590	2	ok
1191	10889.0	588	590	2	ok
1192	10905.7	588	590	2	ok
1193	10922.3	588	590	2	ok
1194	10939.0	588	590	2	ok
1195	10955.7	588	590	2	ok
1196	10972.3	588	590	2	ok
1197	10989.0	588	590	2	ok
1198	11005.7	588	590	2	ok
1199	11022.3	588	590	2	ok
1200	11039.0	588	590	2	ok
1201	11055.7	588	590	2	ok
1202	11072.3	588	590	2	ok
1203	11089.0	588	590	2	ok
1204	11105.7	588	590	2	ok
1205	11122.3	588	590	2	ok
1206	11139.0	588	590	2	ok
1207	11155.7	588	590	2	ok
1208	11172.3	588	590	2	ok
1209	11189.0	588	590	2	ok
1210	11205.7	588	590	2	ok
1211	11222.3	588	590	2	ok
1212	11239.0	588	590	2	ok
1213	11255.7	588	590	2	ok
1214	11272.3	588	590	2	ok
1215	11289.0	588	590	2	ok
1216	11305.7	588	590	2	ok
1217	11322.3	588	590	2	ok
1218	11339.0	588	590	2	ok
1219	11355.7	588	590	2	ok
