# onion skin A3e paint log
# comp	1920	1080
# stale_ms	100.0
t_ms	src_t_ms	tx	ty	sx	have_stale	stale_t_ms	stale_tx	stale_ty	paint_ms
10804.273	10792.296	263.00	101.00	0.500000	1	10694.685	263.00	101.00	1.9313
10834.520	10825.630	263.00	101.00	0.500000	1	10725.578	263.00	101.00	1.3815
10852.858	10842.134	263.00	101.00	0.500000	1	10742.533	263.00	101.00	1.9319
10881.801	10859.030	263.00	101.00	0.500000	1	10775.462	263.00	101.00	1.5588
10897.593	10875.609	263.00	101.00	0.500000	1	10792.296	263.00	101.00	1.4829
10929.598	10909.061	263.00	101.00	0.500000	1	10825.630	263.00	101.00	1.6766
10959.871	10942.113	263.00	101.00	0.500000	1	10859.030	263.00	101.00	1.6176
10974.572	10958.944	263.00	101.00	0.500000	1	10859.030	263.00	101.00	1.6362
11005.472	10992.927	263.00	101.00	0.500000	1	10892.215	263.00	101.00	1.4330
11020.694	11009.391	263.00	101.00	0.500000	1	10909.061	263.00	101.00	1.5751
11052.627	11042.139	263.00	101.00	0.500000	1	10942.113	263.00	101.00	2.1909
11083.790	11075.700	263.00	101.00	0.500000	1	10975.602	263.00	101.00	1.5076
11098.685	11075.700	263.00	101.00	0.500000	1	10992.927	263.00	101.00	1.5699
11129.703	11109.154	263.00	101.00	0.500000	1	11025.296	263.00	101.00	1.4671
11145.441	11125.522	263.00	101.00	0.500000	1	11042.139	263.00	101.00	1.6443
11187.156	11175.454	263.00	101.00	0.500000	1	11075.700	263.00	101.00	1.8376
11220.459	11208.948	263.00	101.00	0.500000	1	11109.154	263.00	101.00	1.7789
11237.208	11225.531	263.00	101.00	0.500000	1	11125.522	263.00	101.00	1.7474
11269.527	11259.056	263.00	101.00	0.500000	1	11159.245	263.00	101.00	1.6240
11271.254	11259.056	263.00	101.00	0.500000	1	11159.245	263.00	101.00	1.4245
11301.626	11292.107	263.00	101.00	0.500000	1	11192.066	263.00	101.00	1.4085
11333.866	11325.568	263.00	101.00	0.500000	1	11225.531	263.00	101.00	1.6154
11349.703	11325.568	263.00	101.00	0.500000	1	11242.183	263.00	101.00	1.5464
11380.507	11359.533	263.00	101.00	0.500000	1	11275.570	263.00	101.00	1.5039
11396.739	11375.618	263.00	101.00	0.500000	1	11292.107	263.00	101.00	1.7631
11427.790	11409.387	263.00	101.00	0.500000	1	11325.568	263.00	101.00	1.5648
11458.854	11442.225	263.00	101.00	0.500000	1	11342.680	263.00	101.00	2.0571
11473.890	11459.025	263.00	101.00	0.500000	1	11359.533	263.00	101.00	1.5592
11506.071	11492.301	263.00	101.00	0.500000	1	11392.575	263.00	101.00	1.4421
11520.544	11509.394	263.00	101.00	0.500000	1	11409.387	263.00	101.00	1.9311
11552.818	11542.594	263.00	101.00	0.500000	1	11442.225	263.00	101.00	1.4406
